f_CID,f_Index,f_Type,f_Rank,f_Name,f_Skill,f_Ability,f_BuyPrice,f_SellPrice,f_Quantity
39,38,3,Valuable,얀지슈카,공격 A,1턴간 공격 주사위 +2개,3650,1825,100
40,39,3,Normal,엘핀스톤,공격 B,2턴간 공격 주사위 +1개,2100,1050,100
41,40,3,Normal,오스만누리파샤,방어 B,2턴간 방어 주사위 +1개,2280,1140,100
42,41,3,Normal,올리비에,지력 B,2턴간 Int+3,1950,975,100
43,42,3,Normal,워락,이동 D,1턴간 Move+4,80,40,100
44,43,3,Normal,이븐사이드,방어 B,2턴간 방어 주사위 +1개,1550,775,100
45,44,3,Normal,이븐시나,공격 B,2턴간 공격 주사위 +1개,2100,1050,100
46,45,3,Normal,이슈탈,방어 C,3턴간 Defend+4,750,375,100
47,46,3,Normal,자바카스,방어 C,3턴간 Defend+4,830,415,100
48,47,3,Normal,제국나이트,이동 D,1턴간 Move+4,50,25,100
49,48,3,Valuable,죠안,이동 A,1턴간 이동 주사위 +2개,5100,2550,100
50,49,3,Normal,죠엘,공격 B,2턴간 공격 주사위 +1개,4400,2200,100
51,50,3,Valuable,지그문트,이동 A,1턴간 이동 주사위 +2개,5200,2600,100
52,51,3,Valuable,철가면,Destroy,2턴간 공격 주사위 최대값,18500,9250,100
53,52,3,Normal,케이트호크,지력 C,3턴간 Int+2,1200,600,100
54,53,3,Normal,크리스티나,공격 B,2턴간 공격 주사위 +1개,1550,775,100
55,54,3,Valuable,크리스티앙,FreeWarp,1턴간 1~4칸 자유이동,18000,9000,100
56,55,3,Normal,파일럿,이동 D,1턴간 Move+4,50,25,100
57,56,3,Normal,팬드래건나이트,이동 D,1턴간 Move+4,50,25,100
58,57,3,Valuable,플랑드르,이동 A,1턴간 이동 주사위 +2개,4400,2200,100
59,58,3,Normal,헤럴드깁슨,이동 B,2턴간 이동 주사위 +1개,1510,755,100
60,59,3,Normal,헤이스팅스,지력 B,2턴간 Int+3,2300,1150,100
61,60,3,Valuable,고렘,Raider,이동중에 마주치는 적과 전투,10500,5250,100
62,61,3,Valuable,아지다하카,오리발,2턴간 오리발 사용 가능,7210,3605,100
63,62,3,Normal,좀비,짝수저주,3턴간 짝수 저주,6800,3400,100
64,63,3,Normal,해골 병사,홀수저주,3턴간 홀수 저주,6800,3400,100
65,101,3,Normal,나탈리,이동 B,2턴간 이동 주사위 +1개,3300,1650,100
66,102,3,Normal,네리샤,이동 C,3턴간 Move+4,1100,550,100
67,103,3,Valuable,데미안,Block,2턴간 방어 주사위 최대값,23300,11650,100
68,104,3,Normal,디에네,지력 C,3턴간 Int+2,900,450,100
69,105,3,Normal,란,공격 B,2턴간 공격 주사위 +1개,3700,1850,100
70,106,3,Normal,레드헤드,방어 B,2턴간 방어 주사위 +1개,2000,1000,100
71,107,3,Normal,루시엔,지력 B,2턴간 Int+3,2100,1050,100
72,108,3,Normal,루크랜서드,방어 C,3턴간 Defend+4,1400,700,100
73,109,3,Normal,리엔,방어 B,2턴간 방어 주사위 +1개,2150,1075,100
74,110,3,Valuable,리차드,지력 A,1턴간 Int+4,2880,1440,100
75,111,3,Normal,마리아,방어 B,2턴간 방어 주사위 +1개,2300,1150,100
76,112,3,Valuable,베라모드,이동 A,1턴간 이동 주사위 +2개,7300,3650,100
77,113,3,Valuable,살라딘2,순간이동,1~15칸 사이를 랜덤하게 워프,28500,14250,100
78,114,3,Normal,손나딘,방어 B,2턴간 방어 주사위 +1개,1850,925,100
79,115,3,Normal,아만딘,방어 C,3턴간 Defend+4,1150,575,100
80,116,3,Normal,아셀라스,지력 B,2턴간 Int+3,1720,860,100
81,117,3,Valuable,아슈레이,공격 A,1턴간 공격 주사위 +2개,8200,4100,100
82,118,3,Valuable,엠블라,방어 A,1턴간 방어 주사위 +2개,5500,2750,100
83,119,3,Valuable,죠안2,지력 A,1턴간 Int+4,6850,3425,100
84,120,3,Normal,쥬디,공격 B,2턴간 공격 주사위 +1개,3800,1900,100
85,121,3,Normal,슈,이동 C,3턴간 Move+4,1600,800,100
86,122,3,Valuable,카를로스,이동 A,1턴간 이동 주사위 +2개,6100,3050,100
87,123,3,Valuable,크리스티앙2,Free Warp,1턴간 1~4칸 자유이동,20200,10100,100
88,124,3,Normal,프라이오스,방어 B,2턴간 방어 주사위 +1개,9750,4875,100
89,125,3,Valuable,강화병,자폭,상대방과 함께 자폭,5000,2500,100
90,126,3,Valuable,루칼드,체인지,2턴간 체인지 사용 가능,6120,3060,100
91,127,3,Valuable,바룬,어빌리티 -50,어빌리티 50% 감소,6150,3075,100
92,128,3,Valuable,엘더마스터,자폭,상대방과 함께 자폭,6650,3325,100
93,129,3,Valuable,제이슨,발키리,2턴간 발키리의 창 사용 가능,8730,4365,100
94,130,3,Valuable,켄,아마게돈,모든 체스맨의 능력치 1/2,7400,3700,100
95,131,3,Valuable,팬텀 데미안,Peace,3턴간 플레이어와 전투 회피,28500,14250,100
96,132,3,Valuable,팬텀 마리아,신의 저주,저주 타일로 만듬,22850,11425,100
97,133,3,Valuable,팬텀 유진,키퍼 C,C급 몬스터 소환,21300,10650,100
98,134,3,Valuable,하이델룬,ExWarp,1턴간 1~6칸 자유이동,24500,12250,100
99,135,3,Valuable,흑태자,GS,"2턴/1턴, 공격/방어 최대값",250000,125000,100
